GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cpo-cassandra,org.synchronoss.cpo.cassandra.cpoCassandraConfig.impl,StCompressionImpl,10,0,0,0,4,0,2,0,2,0
cpo-cassandra,org.synchronoss.cpo.cassandra.cpoCassandraConfig.impl,CtCredentialsImpl,277,0,12,0,68,0,16,0,10,0
cpo-cassandra,org.synchronoss.cpo.cassandra.cpoCassandraConfig.impl,CtCassandraConfigImpl,369,62,16,2,87,14,22,4,13,4
cpo-cassandra,org.synchronoss.cpo.cassandra.cpoCassandraConfig.impl,CtCassandraReadWriteConfigImpl,3071,420,123,17,742,82,170,19,101,18
cpo-cassandra,org.synchronoss.cpo.cassandra.cpoCassandraMeta.impl,CtCassandraArgumentImpl,0,4,0,0,0,2,0,1,0,1
cpo-cassandra,org.synchronoss.cpo.cassandra.cpoCassandraMeta.impl,CtCassandraAttributeImpl,0,4,0,0,0,2,0,1,0,1
cpo-cassandra,org.synchronoss.cpo.cassandra.exporter,CassandraMetaXmlObjectExporter,20,75,10,8,4,23,8,4,0,3
cpo-cassandra,schemaorg_apache_xmlbeans.system.s6042BBE1928BE6D5F8DECE07FC8683DE,TypeSystemHolder,34,38,3,3,0,0,4,2,1,2
cpo-cassandra,org.synchronoss.cpo.cassandra.cpoCassandraConfig,StCompression.Factory,144,0,0,0,22,0,22,0,22,0
cpo-cassandra,org.synchronoss.cpo.cassandra.cpoCassandraConfig,CtCassandraReadWriteConfig.Factory,139,0,0,0,21,0,21,0,21,0
cpo-cassandra,org.synchronoss.cpo.cassandra.cpoCassandraConfig,CtCredentials.Factory,139,0,0,0,21,0,21,0,21,0
cpo-cassandra,org.synchronoss.cpo.cassandra.cpoCassandraConfig,CtCredentials,9,0,0,0,2,0,1,0,1,0
cpo-cassandra,org.synchronoss.cpo.cassandra.cpoCassandraConfig,CtCassandraConfig.Factory,139,0,0,0,21,0,21,0,21,0
cpo-cassandra,org.synchronoss.cpo.cassandra.cpoCassandraConfig,StCompression.Enum,50,0,0,0,5,0,5,0,5,0
cpo-cassandra,org.synchronoss.cpo.cassandra.cpoCassandraConfig,CtCassandraConfig,9,0,0,0,2,0,1,0,1,0
cpo-cassandra,org.synchronoss.cpo.cassandra.cpoCassandraConfig,CtCassandraReadWriteConfig,9,0,0,0,2,0,1,0,1,0
cpo-cassandra,org.synchronoss.cpo.cassandra.cpoCassandraConfig,StCompression,18,0,0,0,5,0,1,0,1,0
cpo-cassandra,org.synchronoss.cpo.cassandra.meta,CassandraCpoMetaAdapter,4,220,0,0,1,29,1,5,1,5
cpo-cassandra,org.synchronoss.cpo.cassandra.meta,CassandraMethodMapper,37,209,0,0,8,34,1,7,1,7
cpo-cassandra,org.synchronoss.cpo.cassandra.meta,CassandraMethodMapEntry,0,12,0,0,0,3,0,2,0,2
cpo-cassandra,org.synchronoss.cpo.cassandra.meta,CassandraCpoMetaDescriptor,0,12,0,0,0,4,0,3,0,3
cpo-cassandra,org.synchronoss.cpo.cassandra.meta,CassandraCpoAttribute,0,64,2,6,0,14,2,5,0,3
cpo-cassandra,org.synchronoss.cpo.cassandra,CassandraBoundStatementCpoData,99,95,6,6,9,22,6,5,0,4
cpo-cassandra,org.synchronoss.cpo.cassandra,ClusterDataSourceInfo,148,138,13,13,51,30,40,8,29,6
cpo-cassandra,org.synchronoss.cpo.cassandra,CassandraBoundStatementFactory,24,76,1,1,3,17,1,8,0,8
cpo-cassandra,org.synchronoss.cpo.cassandra,CassandraCpoAdapter,663,1357,37,65,131,260,55,69,28,45
cpo-cassandra,org.synchronoss.cpo.cassandra,ClusterDataSource,22,30,2,2,4,11,3,2,1,2
cpo-cassandra,org.synchronoss.cpo.cassandra.cpoCassandraMeta,CtCassandraAttribute.Factory,133,6,0,0,20,1,20,1,20,1
cpo-cassandra,org.synchronoss.cpo.cassandra.cpoCassandraMeta,CtCassandraArgument,0,9,0,0,0,2,0,1,0,1
cpo-cassandra,org.synchronoss.cpo.cassandra.cpoCassandraMeta,CtCassandraArgument.Factory,133,6,0,0,20,1,20,1,20,1
cpo-cassandra,org.synchronoss.cpo.cassandra.cpoCassandraMeta,CtCassandraAttribute,0,9,0,0,0,2,0,1,0,1
cpo-cassandra,org.synchronoss.cpo.cassandra.config,AuthProviderFactory,5,0,0,0,2,0,2,0,2,0
cpo-cassandra,org.synchronoss.cpo.cassandra.config,ListenerFactory,5,0,0,0,2,0,2,0,2,0
cpo-cassandra,org.synchronoss.cpo.cassandra.config,RetryPolicyFactory,5,0,0,0,2,0,2,0,2,0
cpo-cassandra,org.synchronoss.cpo.cassandra.config,SocketOptionsFactory,5,0,0,0,2,0,2,0,2,0
cpo-cassandra,org.synchronoss.cpo.cassandra.config,LoadBalancingPolicyFactory,5,0,0,0,2,0,2,0,2,0
cpo-cassandra,org.synchronoss.cpo.cassandra.config,ReconnectionPolicyFactory,5,0,0,0,2,0,2,0,2,0
cpo-cassandra,org.synchronoss.cpo.cassandra.config,PoolingOptionsFactory,5,0,0,0,2,0,2,0,2,0
cpo-cassandra,org.synchronoss.cpo.cassandra.config,CassandraCpoConfigProcessor,143,115,18,16,21,29,17,4,0,4
cpo-cassandra,org.synchronoss.cpo.cassandra.config,QueryOptionsFactory,5,0,0,0,2,0,2,0,2,0
cpo-cassandra,org.synchronoss.cpo.cassandra.config,SSLOptionsFactory,5,0,0,0,2,0,2,0,2,0
cpo-cassandra,org.synchronoss.cpo.cassandra.config,ConfigInstantiator,129,0,0,0,18,0,3,0,3,0
cpo-cassandra,org.synchronoss.cpo.cassandra.transform,TransformNoOp,5,35,0,0,1,7,1,4,1,4
