GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cpo-jdbc,org.synchronoss.cpo.jdbc.cpoJdbcMeta.impl,CtJdbcArgumentImpl,272,94,13,3,61,25,17,5,9,5
cpo-jdbc,org.synchronoss.cpo.jdbc.cpoJdbcMeta.impl,CtJdbcAttributeImpl,232,133,10,6,50,36,14,8,8,6
cpo-jdbc,org.synchronoss.cpo.jdbc.cpoJdbcMeta.impl,CtJdbcArgumentImpl.ScopeImpl,5,5,0,0,2,2,1,1,1,1
cpo-jdbc,schemaorg_apache_xmlbeans.system.s2C714F9B900B06A19BC3F6E85277495E,TypeSystemHolder,34,38,3,3,0,0,4,2,1,2
cpo-jdbc,org.synchronoss.cpo.jdbc.meta,JdbcMethodMapper,37,333,0,2,8,50,1,8,1,7
cpo-jdbc,org.synchronoss.cpo.jdbc.meta,JdbcMethodMapEntry,6,24,0,0,2,7,2,2,2,2
cpo-jdbc,org.synchronoss.cpo.jdbc.meta,JdbcCpoMetaDescriptor,0,52,0,0,0,20,0,11,0,11
cpo-jdbc,org.synchronoss.cpo.jdbc.meta,JdbcCpoMetaAdapter,7,313,0,0,2,53,2,8,2,8
cpo-jdbc,org.synchronoss.cpo.jdbc.cpoJdbcMeta,CtJdbcArgument.Scope.Factory,20,0,0,0,4,0,4,0,4,0
cpo-jdbc,org.synchronoss.cpo.jdbc.cpoJdbcMeta,CtJdbcArgument.Scope.Enum,9,41,0,0,2,3,2,3,2,3
cpo-jdbc,org.synchronoss.cpo.jdbc.cpoJdbcMeta,CtJdbcAttribute,0,9,0,0,0,2,0,1,0,1
cpo-jdbc,org.synchronoss.cpo.jdbc.cpoJdbcMeta,CtJdbcAttribute.Factory,133,6,0,0,20,1,20,1,20,1
cpo-jdbc,org.synchronoss.cpo.jdbc.cpoJdbcMeta,CtJdbcArgument.Scope,0,18,0,0,0,5,0,1,0,1
cpo-jdbc,org.synchronoss.cpo.jdbc.cpoJdbcMeta,CtJdbcArgument.Factory,133,6,0,0,20,1,20,1,20,1
cpo-jdbc,org.synchronoss.cpo.jdbc.cpoJdbcMeta,CtJdbcArgument,0,9,0,0,0,2,0,1,0,1
cpo-jdbc,org.synchronoss.cpo.jdbc.exporter,JdbcMetaXmlObjectExporter,36,125,18,22,8,35,15,8,0,3
cpo-jdbc,org.synchronoss.cpo.jdbc,JdbcCpoWhere,5,49,2,2,1,14,2,4,0,4
cpo-jdbc,org.synchronoss.cpo.jdbc,JndiJdbcDataSourceInfo,56,0,2,0,17,0,4,0,3,0
cpo-jdbc,org.synchronoss.cpo.jdbc,ClassJdbcDataSourceInfo,158,268,9,9,29,57,8,11,1,9
cpo-jdbc,org.synchronoss.cpo.jdbc,JdbcCallableStatementFactory,197,0,14,0,46,0,15,0,8,0
cpo-jdbc,org.synchronoss.cpo.jdbc,DriverJdbcDataSourceInfo,18,159,1,3,3,42,1,10,0,8
cpo-jdbc,org.synchronoss.cpo.jdbc,JdbcCpoAdapter,993,1883,78,102,200,393,79,100,26,63
cpo-jdbc,org.synchronoss.cpo.jdbc,JdbcCpoArgument,0,55,2,6,0,13,2,10,0,8
cpo-jdbc,org.synchronoss.cpo.jdbc,JdbcPreparedStatementCpoData,99,95,6,6,9,22,6,5,0,4
cpo-jdbc,org.synchronoss.cpo.jdbc,AbstractJdbcDataSourceInfo,0,93,2,8,0,20,2,8,0,5
cpo-jdbc,org.synchronoss.cpo.jdbc,JdbcCpoAttribute,0,99,2,8,0,25,2,10,0,7
cpo-jdbc,org.synchronoss.cpo.jdbc,AbstractJdbcDataSource,30,32,0,0,10,8,8,3,8,3
cpo-jdbc,org.synchronoss.cpo.jdbc,JdbcCpoTrxAdapter,97,149,17,13,24,50,13,16,1,13
cpo-jdbc,org.synchronoss.cpo.jdbc,CallableStatementCpoData,285,0,14,0,47,0,14,0,6,0
cpo-jdbc,org.synchronoss.cpo.jdbc,JdbcPreparedStatementFactory,24,82,1,1,3,20,1,8,0,8
cpo-jdbc,org.synchronoss.cpo.jdbc.config,JdbcCpoConfigProcessor,24,242,7,27,4,48,7,14,0,4
cpo-jdbc,org.synchronoss.cpo.transform.jdbc,TransformGZipBlob,144,0,10,0,46,0,11,0,6,0
cpo-jdbc,org.synchronoss.cpo.transform.jdbc,TransformStringChar,24,3,4,0,4,2,6,1,4,1
cpo-jdbc,org.synchronoss.cpo.transform.jdbc,TransformBlob,120,0,6,0,33,0,9,0,6,0
cpo-jdbc,org.synchronoss.cpo.transform.jdbc,OracleTemporaryBlob,33,0,2,0,13,0,4,0,3,0
cpo-jdbc,org.synchronoss.cpo.transform.jdbc,TransformNoOp,19,35,0,0,3,7,2,4,2,4
cpo-jdbc,org.synchronoss.cpo.transform.jdbc,TransformGZipBytes,124,7,10,0,41,3,9,2,4,2
cpo-jdbc,org.synchronoss.cpo.transform.jdbc,OracleTemporaryClob,33,0,2,0,13,0,4,0,3,0
cpo-jdbc,org.synchronoss.cpo.transform.jdbc,TransformClob,104,0,6,0,32,0,9,0,6,0
cpo-jdbc,org.synchronoss.cpo.transform.jdbc,TransformCharArray,33,0,4,0,12,0,7,0,5,0
cpo-jdbc,org.synchronoss.cpo.transform.jdbc,TransformTimestampToCalendar,44,0,6,0,16,0,8,0,5,0
cpo-jdbc,org.synchronoss.cpo.jdbc.cpoJdbcConfig.impl,CtJdbcReadWriteConfigImpl,1007,292,39,13,242,64,56,16,32,14
cpo-jdbc,org.synchronoss.cpo.jdbc.cpoJdbcConfig.impl,CtJdbcConfigImpl,840,291,33,17,203,66,47,19,27,14
cpo-jdbc,org.synchronoss.cpo.jdbc.cpoJdbcConfig.impl,CtPropertyImpl,208,61,10,2,52,16,12,4,6,4
cpo-jdbc,org.synchronoss.cpo.jdbc.cpoJdbcConfig,CtJdbcConfig.Factory,139,0,0,0,21,0,21,0,21,0
cpo-jdbc,org.synchronoss.cpo.jdbc.cpoJdbcConfig,CtProperty,9,0,0,0,2,0,1,0,1,0
cpo-jdbc,org.synchronoss.cpo.jdbc.cpoJdbcConfig,CtJdbcReadWriteConfig.Factory,139,0,0,0,21,0,21,0,21,0
cpo-jdbc,org.synchronoss.cpo.jdbc.cpoJdbcConfig,CtJdbcConfig,9,0,0,0,2,0,1,0,1,0
cpo-jdbc,org.synchronoss.cpo.jdbc.cpoJdbcConfig,CtJdbcReadWriteConfig,9,0,0,0,2,0,1,0,1,0
cpo-jdbc,org.synchronoss.cpo.jdbc.cpoJdbcConfig,CtProperty.Factory,139,0,0,0,21,0,21,0,21,0
